20,0
16.258,0.01627
15.068,0.03018
14.263,0.042895
13.642,0.054805
12.709,0.076725
12.338,0.086978
12.011,0.096832
11.717,0.1064
11.451,0.11567
9.649,0.19692
8.5796,0.26536
7.8276,0.32615
7.2524,0.38171
6.7896,0.43338
6.4043,0.48204
6.0752,0.52827
5.7887,0.57252
5.5357,0.61509
5.3094,0.65623
5.105,0.69613
4.9187,0.73499
4.7478,0.7729
4.59,0.80999
4.4434,0.84637
4.3067,0.88208
4.1786,0.91723
4.058,0.95189
3.9442,0.98607
3.8365,1.0198
3.7342,1.0533
3.6369,1.0863
3.5439,1.1191
3.4551,1.1517
3.3699,1.184
3.2881,1.2162
3.2095,1.2481
3.1337,1.28
3.0606,1.3117
2.9899,1.3433
2.9216,1.3749
2.8553,1.4064
2.7911,1.4378
2.7287,1.4693
2.668,1.5007
2.6089,1.5322
2.5514,1.5638
2.4953,1.5954
2.4406,1.6271
2.3871,1.6588
2.3348,1.6907
2.2837,1.7228
2.2336,1.7549
2.1845,1.7873
2.1363,1.8198
2.0891,1.8526
2.0427,1.8855
1.9971,1.9187
1.9522,1.9522
1.9081,1.986
1.8647,2.0201
1.8219,2.0544
1.7797,2.0892
1.7381,2.1243
1.697,2.1598
1.6565,2.1958
1.6164,2.2322
1.5768,2.2691
1.5377,2.3065
1.4989,2.3445
1.4606,2.383
1.4226,2.4222
1.3849,2.462
1.3475,2.5025
1.3104,2.5438
1.2736,2.5858
1.2371,2.6288
1.2007,2.6726
1.1646,2.7174
1.1286,2.7632
1.0928,2.8102
1.0572,2.8583
1.0216,2.9078
0.98618,2.9586
0.95081,3.0109
0.91546,3.0648
0.88015,3.1205
0.84482,3.1781
0.80944,3.2378
0.77401,3.2998
0.73851,3.3643
0.70287,3.4316
0.66705,3.502
0.63104,3.5759
0.59479,3.6537
0.55824,3.7359
0.52135,3.8232
0.48404,3.9163
0.44626,4.0163
0.40791,4.1244
0.36889,4.2422
0.32908,4.3721
0.28833,4.5172
0.24644,4.6823
0.20312,4.8749
0.15799,5.1082
0.1104,5.4095
0.059138,5.8548
0.053694,5.9156
0.048229,5.9809
0.042686,6.0523
0.037013,6.1321
0.031248,6.2218
0.031248,6.2218
0.025397,6.325
0.019407,6.4487
0.013237,6.6067
0.0068438,6.8371
0,8
